<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.10.10	20:00:00	151.889	151.947	151.156	151.197	21860	0	0
2025.10.13	00:00:00	151.805	152.283	151.740	151.848	19240	0	0
2025.10.13	04:00:00	151.845	152.015	151.807	151.913	15459	0	0
2025.10.13	08:00:00	151.911	152.448	151.722	152.342	23552	0	0
2025.10.13	12:00:00	152.342	152.369	151.977	152.215	20860	0	0
2025.10.13	16:00:00	152.214	152.449	152.105	152.281	22578	0	0
2025.10.13	20:00:00	152.282	152.353	152.219	152.295	9751	0	0
2025.10.14	00:00:00	152.240	152.613	152.084	152.468	10606	0	0
2025.10.14	04:00:00	152.464	152.501	151.782	151.859	19684	0	0
2025.10.14	08:00:00	151.859	152.130	151.619	151.977	30632	0	0
2025.10.14	12:00:00	151.978	152.155	151.860	152.047	23920	0	0
2025.10.14	16:00:00	152.046	152.167	151.669	151.737	35407	0	0
2025.10.14	20:00:00	151.741	151.869	151.604	151.804	16923	0	0
2025.10.15	00:00:00	151.820	151.875	151.498	151.565	11752	0	0
2025.10.15	04:00:00	151.554	151.607	151.003	151.249	16003	0	0
2025.10.15	08:00:00	151.256	151.400	150.900	151.220	20777	0	0
2025.10.15	12:00:00	151.220	151.687	151.220	151.637	20628	0	0
2025.10.15	16:00:00	151.639	151.738	151.040	151.192	27415	0	0
2025.10.15	20:00:00	151.192	151.391	151.051	151.053	16754	0	0
2025.10.16	00:00:00	151.039	151.150	150.512	150.710	12963	0	0
2025.10.16	04:00:00	150.709	151.113	150.514	151.039	15218	0	0
2025.10.16	08:00:00	151.044	151.389	150.941	151.243	22793	0	0
2025.10.16	12:00:00	151.245	151.403	151.032	151.097	17732	0	0
2025.10.16	16:00:00	151.098	151.288	150.234	150.400	33755	0	0
2025.10.16	20:00:00	150.401	150.476	150.213	150.436	21938	0	0
2025.10.17	00:00:00	150.428	150.439	150.046	150.230	11418	0	0
2025.10.17	04:00:00	150.230	150.390	149.895	149.965	14711	0	0
2025.10.17	08:00:00	149.965	149.977	149.379	149.782	29969	0	0
2025.10.17	12:00:00	149.781	150.542	149.605	150.387	29066	0	0
2025.10.17	16:00:00	150.387	150.593	150.162	150.409	31576	0	0
2025.10.17	20:00:00	150.408	150.639	150.366	150.616	11759	0	0
2025.10.20	00:00:00	150.388	150.985	150.327	150.911	11164	0	0
2025.10.20	04:00:00	150.910	151.204	150.517	150.600	11276	0	0
2025.10.20	08:00:00	150.602	150.833	150.500	150.585	20013	0	0
2025.10.20	12:00:00	150.583	150.857	150.274	150.674	20205	0	0
2025.10.20	16:00:00	150.678	150.853	150.409	150.677	20454	0	0
2025.10.20	20:00:00	150.682	150.832	150.627	150.751	7737	0	0
2025.10.21	00:00:00	150.728	150.852	150.469	150.659	7918	0	0
2025.10.21	04:00:00	150.657	151.243	150.529	151.079	14192	0	0
2025.10.21	08:00:00	151.078	151.679	150.864	151.612	26515	0	0
2025.10.21	12:00:00	151.611	152.176	151.596	152.029	22850	0	0
2025.10.21	16:00:00	152.030	152.092	151.460	151.857	27522	0	0
2025.10.21	20:00:00	151.857	151.973	151.817	151.926	8577	0	0
2025.10.22	00:00:00	151.922	151.961	151.606	151.630	8230	0	0
2025.10.22	04:00:00	151.629	151.878	151.490	151.760	10765	0	0
2025.10.22	08:00:00	151.760	151.951	151.621	151.688	21211	0	0
2025.10.22	12:00:00	151.690	151.970	151.654	151.929	22562	0	0
2025.10.22	16:00:00	151.929	152.048	151.506	151.765	26494	0	0
2025.10.22	20:00:00	151.767	152.011	151.606	151.966	13352	0	0
2025.10.23	00:00:00	151.957	152.263	151.821	152.153	8239	0	0
2025.10.23	04:00:00	152.153	152.577	152.121	152.413	8723	0	0
2025.10.23	08:00:00	152.415	152.651	152.321	152.610	15141	0	0
2025.10.23	12:00:00	152.611	152.794	152.459	152.537	16672	0	0
2025.10.23	16:00:00	152.537	152.800	152.477	152.720	20387	0	0
2025.10.23	20:00:00	152.720	152.768	152.496	152.595	7717	0	0
2025.10.24	00:00:00	152.533	152.674	152.473	152.648	6608	0	0
2025.10.24	04:00:00	152.648	152.917	152.639	152.892	9864	0	0
2025.10.24	08:00:00	152.892	153.065	152.755	152.949	17461	0	0
2025.10.24	12:00:00	152.949	152.995	152.204	152.674	18277	0	0
2025.10.24	16:00:00	152.674	153.020	152.599	152.841	23075	0	0
2025.10.24	20:00:00	152.840	152.897	152.749	152.866	6837	0	0
2025.10.27	00:00:00	152.761	153.179	152.753	152.892	10069	0	0
2025.10.27	04:00:00	152.891	153.165	152.655	153.138	9893	0	0
2025.10.27	08:00:00	153.138	153.256	152.745	152.819	16029	0	0
2025.10.27	12:00:00	152.821	152.897	152.567	152.840	18279	0	0
2025.10.27	16:00:00	152.841	153.197	152.808	152.997	19424	0	0
2025.10.27	20:00:00	152.997	153.096	152.762	152.875	8328	0	0
2025.10.28	00:00:00	152.864	152.864	152.397	152.500	6691	0	0
2025.10.28	04:00:00	152.498	152.515	151.853	151.878	14262	0	0
2025.10.28	08:00:00	151.879	152.356	151.761	151.953	22152	0	0
2025.10.28	12:00:00	151.954	152.219	151.824	152.134	19179	0	0
2025.10.28	16:00:00	152.134	152.375	151.854	152.112	23345	0	0
2025.10.28	20:00:00	152.112	152.245	151.948	152.103	9431	0	0
2025.10.29	00:00:00	152.097	152.197	151.540	151.635	10038	0	0
2025.10.29	04:00:00	151.638	152.144	151.553	152.075	11543	0	0
2025.10.29	08:00:00	152.078	152.544	152.003	152.336	16453	0	0
2025.10.29	12:00:00	152.338	152.469	152.137	152.242	16413	0	0
2025.10.29	16:00:00	152.241	152.245	151.861	152.152	20525	0	0
2025.10.29	20:00:00	152.152	153.063	152.091	152.727	27009	0	0
2025.10.30	00:00:00	152.717	152.948	152.505	152.635	9156	0	0
2025.10.30	04:00:00	152.639	153.136	152.159	152.768	22003	0	0
2025.10.30	08:00:00	152.768	153.889	152.677	153.750	23789	0	0
2025.10.30	12:00:00	153.751	154.293	153.625	154.293	21090	0	0
2025.10.30	16:00:00	154.302	154.446	154.045	154.100	25351	0	0
2025.10.30	20:00:00	154.098	154.169	154.021	154.158	10374	0	0
2025.10.31	00:00:00	154.124	154.168	153.822	153.898	7479	0	0
2025.10.31	04:00:00	153.897	154.070	153.654	153.938	10048	0	0
2025.10.31	08:00:00	153.938	154.415	153.833	154.248	16929	0	0
2025.10.31	12:00:00	154.248	154.292	153.893	154.136	17191	0	0
2025.10.31	16:00:00	154.135	154.231	153.893	154.116	23689	0	0
2025.10.31	20:00:00	154.113	154.179	154.002	154.008	9212	0	0
2025.11.03	00:00:00	153.978	154.252	153.972	154.117	7715	0	0
2025.11.03	04:00:00	154.117	154.135	153.989	154.123	5409	0	0
2025.11.03	08:00:00	154.124	154.284	154.052	154.167	12694	0	0
2025.11.03	12:00:00	154.167	154.298	154.098	154.250	11426	0	0
2025.11.03	16:00:00	154.250	154.273	153.924	154.154	17067	0	0
2025.11.03	20:00:00	154.154	154.253	154.118	154.201	7299	0	0
2025.11.04	00:00:00	154.204	154.487	154.169	154.331	8566	0	0
2025.11.04	04:00:00	154.331	154.358	153.690	153.734	11768	0	0
2025.11.04	08:00:00	153.734	153.793	153.335	153.486	21862	0	0
2025.11.04	12:00:00	153.485	153.625	153.317	153.389	17395	0	0
2025.11.04	16:00:00	153.390	153.645	153.340	153.590	19582	0	0
2025.11.04	20:00:00	153.591	153.693	153.545	153.654	9390	0	0
2025.11.05	00:00:00	153.664	153.747	152.959	153.164	14087	0	0
2025.11.05	04:00:00	153.164	153.568	153.066	153.524	13299	0	0
2025.11.05	08:00:00	153.523	153.742	153.421	153.691	17278	0	0
2025.11.05	12:00:00	153.691	153.990	153.565	153.982	17308	0	0
2025.11.05	16:00:00	153.982	154.356	153.897	154.078	20953	0	0
2025.11.05	20:00:00	154.077	154.145	154.006	154.104	7201	0	0
2025.11.06	00:00:00	154.105	154.143	153.805	153.872	8782	0	0
2025.11.06	04:00:00	153.872	154.030	153.797	153.887	7584	0	0
2025.11.06	08:00:00	153.886	154.005	153.532	153.721	14287	0	0
2025.11.06	12:00:00	153.721	153.777	153.404	153.505	15204	0	0
