<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2023.09.06	04:00:00	0.63656	0.63835	0.63572	0.63835	8020	0	0
2023.09.06	08:00:00	0.63836	0.64047	0.63787	0.63902	11754	0	0
2023.09.06	12:00:00	0.63902	0.64011	0.63813	0.63880	8262	0	0
2023.09.06	16:00:00	0.63880	0.64022	0.63632	0.63780	15804	0	0
2023.09.06	20:00:00	0.63780	0.63850	0.63745	0.63821	4953	0	0
2023.09.07	00:00:00	0.63758	0.63843	0.63719	0.63764	3037	0	0
2023.09.07	04:00:00	0.63764	0.63851	0.63621	0.63658	7156	0	0
2023.09.07	08:00:00	0.63658	0.63930	0.63651	0.63849	9831	0	0
2023.09.07	12:00:00	0.63848	0.63913	0.63706	0.63899	9281	0	0
2023.09.07	16:00:00	0.63902	0.63951	0.63666	0.63764	13257	0	0
2023.09.07	20:00:00	0.63766	0.63849	0.63746	0.63756	5029	0	0
2023.09.08	00:00:00	0.63737	0.63890	0.63717	0.63820	3220	0	0
2023.09.08	04:00:00	0.63819	0.63959	0.63670	0.63867	7938	0	0
2023.09.08	08:00:00	0.63866	0.64146	0.63866	0.63937	9225	0	0
2023.09.08	12:00:00	0.63934	0.64075	0.63878	0.63938	9401	0	0
2023.09.08	16:00:00	0.63937	0.64072	0.63754	0.63778	11180	0	0
2023.09.08	20:00:00	0.63776	0.63820	0.63706	0.63781	3872	0	0
2023.09.11	00:00:00	0.63854	0.64024	0.63701	0.63934	5410	0	0
2023.09.11	04:00:00	0.63932	0.64375	0.63920	0.64368	10018	0	0
2023.09.11	08:00:00	0.64369	0.64438	0.64309	0.64354	10729	0	0
2023.09.11	12:00:00	0.64354	0.64412	0.64233	0.64356	8270	0	0
2023.09.11	16:00:00	0.64356	0.64494	0.64278	0.64352	10988	0	0
2023.09.11	20:00:00	0.64350	0.64366	0.64258	0.64303	4222	0	0
2023.09.12	00:00:00	0.64246	0.64334	0.64203	0.64214	2938	0	0
2023.09.12	04:00:00	0.64210	0.64394	0.64159	0.64276	7949	0	0
2023.09.12	08:00:00	0.64273	0.64398	0.64212	0.64280	9332	0	0
2023.09.12	12:00:00	0.64280	0.64295	0.64126	0.64155	8304	0	0
2023.09.12	16:00:00	0.64151	0.64276	0.64084	0.64194	9971	0	0
2023.09.12	20:00:00	0.64194	0.64280	0.64174	0.64262	5377	0	0
2023.09.13	00:00:00	0.64244	0.64330	0.64091	0.64224	3030	0	0
2023.09.13	04:00:00	0.64224	0.64288	0.63994	0.64096	7707	0	0
2023.09.13	08:00:00	0.64097	0.64165	0.63992	0.64128	9768	0	0
2023.09.13	12:00:00	0.64130	0.64228	0.63799	0.64109	11675	0	0
2023.09.13	16:00:00	0.64110	0.64341	0.64046	0.64281	14473	0	0
2023.09.13	20:00:00	0.64282	0.64329	0.64122	0.64209	5178	0	0
2023.09.14	00:00:00	0.64165	0.64482	0.64135	0.64470	3667	0	0
2023.09.14	04:00:00	0.64470	0.64535	0.64206	0.64388	8132	0	0
2023.09.14	08:00:00	0.64391	0.64479	0.64286	0.64340	8821	0	0
2023.09.14	12:00:00	0.64340	0.64507	0.64187	0.64409	12556	0	0
2023.09.14	16:00:00	0.64409	0.64596	0.64274	0.64483	15619	0	0
2023.09.14	20:00:00	0.64483	0.64491	0.64302	0.64405	5482	0	0
2023.09.15	00:00:00	0.64401	0.64478	0.64229	0.64421	3971	0	0
2023.09.15	04:00:00	0.64422	0.64736	0.64382	0.64724	7934	0	0
2023.09.15	08:00:00	0.64724	0.64730	0.64496	0.64506	9254	0	0
2023.09.15	12:00:00	0.64505	0.64611	0.64403	0.64406	8533	0	0
2023.09.15	16:00:00	0.64407	0.64574	0.64317	0.64373	13973	0	0
2023.09.15	20:00:00	0.64373	0.64386	0.64247	0.64310	4718	0	0
2023.09.18	00:00:00	0.64341	0.64436	0.64248	0.64408	2881	0	0
2023.09.18	04:00:00	0.64412	0.64473	0.64272	0.64444	7043	0	0
2023.09.18	08:00:00	0.64448	0.64490	0.64304	0.64382	8956	0	0
2023.09.18	12:00:00	0.64379	0.64418	0.64289	0.64300	7980	0	0
2023.09.18	16:00:00	0.64301	0.64452	0.64167	0.64381	10973	0	0
2023.09.18	20:00:00	0.64384	0.64417	0.64327	0.64368	4084	0	0
2023.09.19	00:00:00	0.64337	0.64476	0.64269	0.64365	3178	0	0
2023.09.19	04:00:00	0.64363	0.64392	0.64290	0.64379	5554	0	0
2023.09.19	08:00:00	0.64378	0.64588	0.64278	0.64508	7631	0	0
2023.09.19	12:00:00	0.64508	0.64737	0.64469	0.64705	7753	0	0
2023.09.19	16:00:00	0.64706	0.64717	0.64522	0.64552	10633	0	0
2023.09.19	20:00:00	0.64552	0.64602	0.64530	0.64536	4696	0	0
2023.09.20	00:00:00	0.64529	0.64657	0.64438	0.64567	3039	0	0
2023.09.20	04:00:00	0.64567	0.64588	0.64482	0.64506	5926	0	0
2023.09.20	08:00:00	0.64506	0.64662	0.64487	0.64659	9406	0	0
2023.09.20	12:00:00	0.64660	0.64885	0.64634	0.64856	6953	0	0
2023.09.20	16:00:00	0.64856	0.65113	0.64826	0.65104	10275	0	0
2023.09.20	20:00:00	0.65104	0.65104	0.64397	0.64476	15111	0	0
2023.09.21	00:00:00	0.64468	0.64525	0.64214	0.64243	4933	0	0
2023.09.21	04:00:00	0.64244	0.64270	0.64029	0.64059	7058	0	0
2023.09.21	08:00:00	0.64067	0.64226	0.64020	0.64061	9605	0	0
2023.09.21	12:00:00	0.64063	0.64100	0.63852	0.64016	11718	0	0
2023.09.21	16:00:00	0.64018	0.64278	0.63956	0.64180	13125	0	0
2023.09.21	20:00:00	0.64181	0.64320	0.64128	0.64154	6153	0	0
2023.09.22	00:00:00	0.64137	0.64191	0.64039	0.64111	3202	0	0
2023.09.22	04:00:00	0.64110	0.64273	0.64038	0.64254	7903	0	0
2023.09.22	08:00:00	0.64256	0.64402	0.64176	0.64378	11923	0	0
2023.09.22	12:00:00	0.64377	0.64611	0.64357	0.64572	8501	0	0
2023.09.22	16:00:00	0.64574	0.64650	0.64473	0.64492	11460	0	0
2023.09.22	20:00:00	0.64490	0.64516	0.64364	0.64411	5453	0	0
2023.09.25	00:00:00	0.64372	0.64467	0.64343	0.64437	3774	0	0
2023.09.25	04:00:00	0.64438	0.64452	0.64221	0.64274	6208	0	0
2023.09.25	08:00:00	0.64272	0.64289	0.64130	0.64152	7456	0	0
2023.09.25	12:00:00	0.64152	0.64358	0.64139	0.64244	8313	0	0
2023.09.25	16:00:00	0.64245	0.64300	0.64042	0.64188	11359	0	0
2023.09.25	20:00:00	0.64186	0.64269	0.64174	0.64230	4554	0	0
2023.09.26	00:00:00	0.64203	0.64257	0.64082	0.64188	3228	0	0
2023.09.26	04:00:00	0.64186	0.64306	0.64155	0.64176	8545	0	0
2023.09.26	08:00:00	0.64175	0.64199	0.63875	0.64072	10951	0	0
2023.09.26	12:00:00	0.64072	0.64188	0.63989	0.64170	10433	0	0
2023.09.26	16:00:00	0.64169	0.64214	0.64006	0.64063	13820	0	0
2023.09.26	20:00:00	0.64063	0.64103	0.63913	0.63968	6352	0	0
2023.09.27	00:00:00	0.63948	0.64026	0.63868	0.63912	3508	0	0
2023.09.27	04:00:00	0.63910	0.64090	0.63765	0.63829	7807	0	0
2023.09.27	08:00:00	0.63830	0.63856	0.63706	0.63812	7816	0	0
2023.09.27	12:00:00	0.63812	0.63820	0.63614	0.63760	8541	0	0
2023.09.27	16:00:00	0.63758	0.63874	0.63538	0.63553	12585	0	0
2023.09.27	20:00:00	0.63550	0.63664	0.63313	0.63527	9181	0	0
2023.09.28	00:00:00	0.63526	0.63619	0.63448	0.63600	3622	0	0
2023.09.28	04:00:00	0.63603	0.63774	0.63592	0.63757	8132	0	0
2023.09.28	08:00:00	0.63760	0.63812	0.63640	0.63777	10065	0	0
2023.09.28	12:00:00	0.63778	0.64044	0.63703	0.63889	11414	0	0
2023.09.28	16:00:00	0.63890	0.64323	0.63873	0.64226	17322	0	0
2023.09.28	20:00:00	0.64226	0.64288	0.64158	0.64275	8046	0	0
2023.09.29	00:00:00	0.64239	0.64314	0.64063	0.64239	2612	0	0
2023.09.29	04:00:00	0.64238	0.64610	0.64232	0.64574	6820	0	0
2023.09.29	08:00:00	0.64573	0.64862	0.64551	0.64816	10016	0	0
