time,open,high,low,close,volume
2026-03-16 00:00:00,1.14184,1.14287,1.14173,1.14252,989.0
2026-03-16 01:00:00,1.14252,1.14352,1.1419,1.143,3219.0
2026-03-16 02:00:00,1.14301,1.14357,1.14259,1.14355,2321.0
2026-03-16 03:00:00,1.14355,1.14555,1.14351,1.14549,2843.0
2026-03-16 04:00:00,1.1455,1.14566,1.14396,1.14493,3275.0
2026-03-16 05:00:00,1.14494,1.14516,1.14449,1.1448,2355.0
2026-03-16 06:00:00,1.1448,1.1454,1.14458,1.14506,1616.0
2026-03-16 07:00:00,1.14506,1.14516,1.14415,1.14415,1218.0
2026-03-16 08:00:00,1.14415,1.14434,1.14332,1.14348,1651.0
2026-03-16 09:00:00,1.14346,1.14366,1.1424,1.14317,2357.0
2026-03-16 10:00:00,1.14316,1.14348,1.14143,1.14258,3108.0
2026-03-16 11:00:00,1.14259,1.14453,1.14259,1.14449,3978.0
2026-03-16 12:00:00,1.14449,1.14526,1.1441,1.145,3364.0
2026-03-16 13:00:00,1.145,1.14779,1.14476,1.14754,3731.0
2026-03-16 14:00:00,1.14754,1.14872,1.14708,1.14791,3218.0
2026-03-16 15:00:00,1.14793,1.14878,1.14723,1.14738,3993.0
2026-03-16 16:00:00,1.1474,1.15009,1.1474,1.15003,3976.0
2026-03-16 17:00:00,1.15002,1.15021,1.14804,1.14886,5456.0
2026-03-16 18:00:00,1.14888,1.15003,1.14803,1.14869,3969.0
2026-03-16 19:00:00,1.14869,1.14993,1.14777,1.14935,3880.0
2026-03-16 20:00:00,1.14938,1.15039,1.14906,1.14923,3632.0
2026-03-16 21:00:00,1.14922,1.15237,1.14921,1.15186,3134.0
2026-03-16 22:00:00,1.15187,1.15248,1.1506,1.15078,3364.0
2026-03-16 23:00:00,1.15079,1.15105,1.15032,1.15057,1426.0
2026-03-17 00:00:00,1.15046,1.15113,1.15023,1.15059,679.0
2026-03-17 01:00:00,1.15059,1.15059,1.14979,1.14989,1301.0
2026-03-17 02:00:00,1.14989,1.14999,1.14948,1.14983,1227.0
2026-03-17 03:00:00,1.14984,1.14984,1.14891,1.14925,2297.0
2026-03-17 04:00:00,1.14925,1.14957,1.14865,1.1493,2512.0
2026-03-17 05:00:00,1.1493,1.14986,1.14911,1.1495,1165.0
2026-03-17 06:00:00,1.1495,1.1503,1.14919,1.1492,1874.0
2026-03-17 07:00:00,1.1492,1.14999,1.14893,1.1497,953.0
2026-03-17 08:00:00,1.1497,1.14992,1.14781,1.14795,1940.0
2026-03-17 09:00:00,1.14795,1.14817,1.1466,1.14817,3227.0
2026-03-17 10:00:00,1.14817,1.15002,1.14797,1.14949,2798.0
2026-03-17 11:00:00,1.14949,1.15181,1.14876,1.15104,3921.0
2026-03-17 12:00:00,1.15106,1.15248,1.15083,1.15167,3436.0
2026-03-17 13:00:00,1.15168,1.15168,1.15039,1.15062,2925.0
2026-03-17 14:00:00,1.15063,1.15187,1.15048,1.15075,2946.0
2026-03-17 15:00:00,1.15076,1.15246,1.15045,1.15241,3840.0
2026-03-17 16:00:00,1.15241,1.15436,1.15241,1.15306,5401.0
2026-03-17 17:00:00,1.15306,1.15388,1.15207,1.15333,4688.0
2026-03-17 18:00:00,1.15333,1.15388,1.15207,1.15248,5235.0
2026-03-17 19:00:00,1.15248,1.1533,1.15181,1.1528,4043.0
2026-03-17 20:00:00,1.1528,1.15399,1.15264,1.15397,2240.0
2026-03-17 21:00:00,1.15398,1.15472,1.15385,1.15391,1969.0
2026-03-17 22:00:00,1.15392,1.15413,1.15339,1.15356,1324.0
2026-03-17 23:00:00,1.15356,1.15418,1.15351,1.154,785.0
2026-03-18 00:00:00,1.15391,1.15391,1.15302,1.15358,760.0
2026-03-18 01:00:00,1.15358,1.15439,1.15355,1.15401,1300.0
2026-03-18 02:00:00,1.15401,1.1541,1.15374,1.15387,2303.0
2026-03-18 03:00:00,1.15388,1.15441,1.1532,1.15327,2730.0
2026-03-18 04:00:00,1.15325,1.15402,1.15321,1.1534,1802.0
2026-03-18 05:00:00,1.1534,1.15381,1.15321,1.15326,1263.0
2026-03-18 06:00:00,1.15326,1.15368,1.15322,1.15361,936.0
2026-03-18 07:00:00,1.15361,1.15425,1.1536,1.15415,799.0
2026-03-18 08:00:00,1.15416,1.15468,1.15401,1.15455,1135.0
2026-03-18 09:00:00,1.15454,1.15491,1.15396,1.15422,1919.0
2026-03-18 10:00:00,1.15422,1.15456,1.15233,1.15264,2118.0
2026-03-18 11:00:00,1.15264,1.15343,1.15176,1.15325,3072.0
2026-03-18 12:00:00,1.15324,1.15395,1.15253,1.15388,1911.0
2026-03-18 13:00:00,1.15388,1.15439,1.15338,1.15399,2028.0
2026-03-18 14:00:00,1.15399,1.15553,1.15301,1.15466,3982.0
2026-03-18 15:00:00,1.15467,1.15481,1.15056,1.15073,6588.0
2026-03-18 16:00:00,1.15074,1.15155,1.14907,1.15144,6636.0
2026-03-18 17:00:00,1.15149,1.15274,1.15042,1.15165,5843.0
2026-03-18 18:00:00,1.15165,1.15297,1.15115,1.1513,4744.0
2026-03-18 19:00:00,1.15129,1.15222,1.15067,1.15107,3880.0
2026-03-18 20:00:00,1.15105,1.15166,1.15026,1.15151,3396.0
2026-03-18 21:00:00,1.15151,1.15252,1.14771,1.14773,7082.0
2026-03-18 22:00:00,1.14772,1.14826,1.14685,1.14697,4664.0
2026-03-18 23:00:00,1.14696,1.14705,1.14498,1.14504,2523.0
2026-03-19 00:00:00,1.14508,1.14689,1.145,1.14628,1396.0
2026-03-19 01:00:00,1.14628,1.14654,1.14512,1.14568,1871.0
2026-03-19 02:00:00,1.14568,1.14659,1.14554,1.14634,1784.0
2026-03-19 03:00:00,1.1463,1.14744,1.14621,1.14741,2715.0
2026-03-19 04:00:00,1.14742,1.14837,1.14734,1.14762,2606.0
2026-03-19 05:00:00,1.14761,1.14913,1.14718,1.1482,3361.0
2026-03-19 06:00:00,1.1482,1.14834,1.14747,1.14749,1680.0
2026-03-19 07:00:00,1.14746,1.1475,1.14669,1.14689,1496.0
2026-03-19 08:00:00,1.14689,1.1471,1.14636,1.14658,1385.0
2026-03-19 09:00:00,1.14658,1.14768,1.14611,1.14653,2951.0
2026-03-19 10:00:00,1.14653,1.14752,1.14508,1.14525,5661.0
2026-03-19 11:00:00,1.14525,1.14592,1.1443,1.1451,5941.0
2026-03-19 12:00:00,1.1451,1.1488,1.1451,1.14801,7571.0
2026-03-19 13:00:00,1.14797,1.14797,1.14666,1.14739,4034.0
2026-03-19 14:00:00,1.14739,1.14814,1.14658,1.14797,3659.0
2026-03-19 15:00:00,1.14797,1.14899,1.14628,1.14872,7589.0
2026-03-19 16:00:00,1.14872,1.15272,1.14695,1.15176,10739.0
2026-03-19 17:00:00,1.15178,1.15282,1.15008,1.15165,9878.0
2026-03-19 18:00:00,1.15165,1.15389,1.14985,1.15142,7977.0
2026-03-19 19:00:00,1.1514,1.15376,1.15119,1.15359,7385.0
2026-03-19 20:00:00,1.15358,1.15675,1.15358,1.15602,4678.0
2026-03-19 21:00:00,1.15602,1.15842,1.15509,1.15833,4282.0
2026-03-19 22:00:00,1.15835,1.16162,1.15772,1.15846,9068.0
2026-03-19 23:00:00,1.15846,1.15897,1.15804,1.15885,1798.0
2026-03-20 00:00:00,1.15876,1.15879,1.15788,1.1581,575.0
2026-03-20 01:00:00,1.1581,1.1595,1.15776,1.15783,1596.0
2026-03-20 02:00:00,1.15783,1.15816,1.15746,1.15766,1439.0
2026-03-20 03:00:00,1.15766,1.15802,1.1571,1.15739,1962.0
2026-03-20 04:00:00,1.15739,1.1577,1.15635,1.15651,2573.0
2026-03-20 05:00:00,1.15653,1.1568,1.15618,1.15636,1774.0
2026-03-20 06:00:00,1.15637,1.15637,1.15562,1.15568,1499.0
2026-03-20 07:00:00,1.15568,1.15597,1.15551,1.15556,973.0
2026-03-20 08:00:00,1.15556,1.15612,1.15523,1.15526,1535.0
2026-03-20 09:00:00,1.15526,1.15662,1.15525,1.15591,1887.0
2026-03-20 10:00:00,1.15591,1.15753,1.15557,1.15731,3908.0
2026-03-20 11:00:00,1.15736,1.15809,1.15677,1.15677,3906.0
2026-03-20 12:00:00,1.15678,1.15729,1.15478,1.15486,4319.0
2026-03-20 13:00:00,1.15487,1.15625,1.15351,1.156,4725.0
2026-03-20 14:00:00,1.156,1.158,1.15573,1.15715,3738.0
2026-03-20 15:00:00,1.15715,1.15798,1.15621,1.15644,5911.0
2026-03-20 16:00:00,1.15645,1.1566,1.15399,1.15413,6190.0
2026-03-20 17:00:00,1.15412,1.15439,1.15246,1.15349,7561.0
2026-03-20 18:00:00,1.15348,1.15579,1.15348,1.15421,7484.0
2026-03-20 19:00:00,1.15421,1.15665,1.15414,1.15593,4926.0
2026-03-20 20:00:00,1.15596,1.15706,1.15496,1.15577,5221.0
2026-03-20 21:00:00,1.15577,1.15716,1.15477,1.15504,5352.0
2026-03-20 22:00:00,1.15505,1.15619,1.15468,1.15584,4485.0
2026-03-20 23:00:00,1.15584,1.15712,1.15573,1.15685,1997.0
2026-03-23 00:00:00,1.15361,1.15418,1.15338,1.15348,497.0
2026-03-23 01:00:00,1.15348,1.15627,1.15348,1.15582,3380.0
