<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2023.11.17	12:00:00	1.24098	1.24401	1.24082	1.24214	12507	0	0
2023.11.17	16:00:00	1.24214	1.24374	1.24051	1.24358	15773	0	0
2023.11.17	20:00:00	1.24358	1.24650	1.24333	1.24622	6884	0	0
2023.11.20	00:00:00	1.24432	1.24696	1.24395	1.24684	5834	0	0
2023.11.20	04:00:00	1.24684	1.24957	1.24667	1.24804	7551	0	0
2023.11.20	08:00:00	1.24806	1.25102	1.24713	1.25102	12179	0	0
2023.11.20	12:00:00	1.25102	1.25102	1.24614	1.24733	10235	0	0
2023.11.20	16:00:00	1.24734	1.25177	1.24622	1.25006	12088	0	0
2023.11.20	20:00:00	1.25006	1.25174	1.24984	1.25050	7314	0	0
2023.11.21	00:00:00	1.25042	1.25250	1.24956	1.25173	5767	0	0
2023.11.21	04:00:00	1.25164	1.25400	1.25127	1.25264	7427	0	0
2023.11.21	08:00:00	1.25265	1.25410	1.25199	1.25310	11897	0	0
2023.11.21	12:00:00	1.25311	1.25594	1.25272	1.25396	10732	0	0
2023.11.21	16:00:00	1.25398	1.25543	1.25268	1.25469	14719	0	0
2023.11.21	20:00:00	1.25469	1.25472	1.25174	1.25381	8312	0	0
2023.11.22	00:00:00	1.25365	1.25497	1.25248	1.25355	5228	0	0
2023.11.22	04:00:00	1.25356	1.25440	1.25240	1.25256	5217	0	0
2023.11.22	08:00:00	1.25258	1.25372	1.25069	1.25294	11535	0	0
2023.11.22	12:00:00	1.25294	1.25488	1.25094	1.25151	14320	0	0
2023.11.22	16:00:00	1.25157	1.25165	1.24493	1.24791	16208	0	0
2023.11.22	20:00:00	1.24788	1.24971	1.24784	1.24941	7056	0	0
2023.11.23	00:00:00	1.24913	1.24970	1.24830	1.24961	3994	0	0
2023.11.23	04:00:00	1.24961	1.25130	1.24954	1.25118	5212	0	0
2023.11.23	08:00:00	1.25118	1.25617	1.25014	1.25583	11877	0	0
2023.11.23	12:00:00	1.25582	1.25630	1.25329	1.25373	9265	0	0
2023.11.23	16:00:00	1.25373	1.25435	1.25252	1.25316	7086	0	0
2023.11.23	20:00:00	1.25316	1.25383	1.25308	1.25335	1865	0	0
2023.11.24	00:00:00	1.25309	1.25450	1.25244	1.25327	4410	0	0
2023.11.24	04:00:00	1.25328	1.25460	1.25246	1.25456	4774	0	0
2023.11.24	08:00:00	1.25456	1.25660	1.25264	1.25496	9553	0	0
2023.11.24	12:00:00	1.25495	1.25800	1.25462	1.25774	9792	0	0
2023.11.24	16:00:00	1.25774	1.26154	1.25758	1.26076	11087	0	0
