<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2023.01.10	00:00:00	0.92057	0.92218	0.92004	0.92068	6164	0	0
2023.01.10	04:00:00	0.92068	0.92229	0.92060	0.92098	5839	0	0
2023.01.10	08:00:00	0.92098	0.92238	0.91953	0.91987	11583	0	0
2023.01.10	12:00:00	0.91987	0.92522	0.91980	0.92441	10344	0	0
2023.01.10	16:00:00	0.92440	0.92441	0.92052	0.92285	17873	0	0
2023.01.10	20:00:00	0.92287	0.92358	0.92224	0.92272	5827	0	0
2023.01.11	00:00:00	0.92162	0.92356	0.92108	0.92312	4802	0	0
2023.01.11	04:00:00	0.92312	0.92335	0.92097	0.92141	5402	0	0
2023.01.11	08:00:00	0.92142	0.92351	0.92046	0.92316	10472	0	0
2023.01.11	12:00:00	0.92313	0.92960	0.92204	0.92906	11588	0	0
2023.01.11	16:00:00	0.92908	0.93179	0.92814	0.93140	14684	0	0
2023.01.11	20:00:00	0.93141	0.93317	0.93018	0.93134	9028	0	0
2023.01.12	00:00:00	0.93059	0.93160	0.92948	0.93153	6969	0	0
2023.01.12	04:00:00	0.93153	0.93176	0.93059	0.93151	5918	0	0
2023.01.12	08:00:00	0.93151	0.93484	0.93048	0.93112	10088	0	0
2023.01.12	12:00:00	0.93112	0.93593	0.92662	0.92773	16005	0	0
2023.01.12	16:00:00	0.92768	0.93439	0.92738	0.92807	28079	0	0
2023.01.12	20:00:00	0.92807	0.92954	0.92682	0.92736	11638	0	0
2023.01.13	00:00:00	0.92694	0.92860	0.92574	0.92803	5375	0	0
2023.01.13	04:00:00	0.92804	0.93082	0.92799	0.93047	5026	0	0
2023.01.13	08:00:00	0.93045	0.93159	0.92712	0.92853	12253	0	0
2023.01.13	12:00:00	0.92852	0.93095	0.92679	0.93083	13740	0	0
2023.01.13	16:00:00	0.93083	0.93169	0.92562	0.92649	17441	0	0
2023.01.13	20:00:00	0.92648	0.92725	0.92566	0.92631	6203	0	0
2023.01.16	00:00:00	0.92564	0.92737	0.92306	0.92316	6954	0	0
2023.01.16	04:00:00	0.92316	0.92427	0.92188	0.92398	5170	0	0
2023.01.16	08:00:00	0.92396	0.92884	0.92396	0.92496	11463	0	0
2023.01.16	12:00:00	0.92496	0.92777	0.92458	0.92542	10365	0	0
2023.01.16	16:00:00	0.92542	0.92778	0.92522	0.92604	7840	0	0
2023.01.16	20:00:00	0.92603	0.92696	0.92582	0.92604	4202	0	0
2023.01.17	00:00:00	0.92519	0.92665	0.92411	0.92642	4806	0	0
2023.01.17	04:00:00	0.92642	0.92758	0.92427	0.92431	6227	0	0
2023.01.17	08:00:00	0.92431	0.92607	0.92259	0.92336	11062	0	0
2023.01.17	12:00:00	0.92336	0.92393	0.92005	0.92089	13969	0	0
2023.01.17	16:00:00	0.92089	0.92323	0.91876	0.92242	17602	0	0
2023.01.17	20:00:00	0.92241	0.92289	0.92162	0.92194	6813	0	0
2023.01.18	00:00:00	0.92188	0.92294	0.92102	0.92193	3735	0	0
2023.01.18	04:00:00	0.92193	0.92459	0.92168	0.92280	10963	0	0
2023.01.18	08:00:00	0.92280	0.92348	0.91288	0.91296	16692	0	0
2023.01.18	12:00:00	0.91294	0.91493	0.91134	0.91218	16141	0	0
2023.01.18	16:00:00	0.91220	0.91724	0.90853	0.91586	21410	0	0
2023.01.18	20:00:00	0.91582	0.91694	0.91531	0.91651	7975	0	0
2023.01.19	00:00:00	0.91500	0.91750	0.91456	0.91716	5703	0	0
2023.01.19	04:00:00	0.91714	0.91762	0.91530	0.91648	5744	0	0
2023.01.19	08:00:00	0.91647	0.91713	0.91489	0.91626	11708	0	0
2023.01.19	12:00:00	0.91627	0.91895	0.91568	0.91800	14737	0	0
2023.01.19	16:00:00	0.91800	0.91848	0.91519	0.91609	16296	0	0
2023.01.19	20:00:00	0.91609	0.91694	0.91474	0.91592	9334	0	0
2023.01.20	00:00:00	0.91457	0.91638	0.91457	0.91622	4405	0	0
2023.01.20	04:00:00	0.91623	0.91753	0.91558	0.91654	5731	0	0
2023.01.20	08:00:00	0.91654	0.92143	0.91412	0.92041	10967	0	0
2023.01.20	12:00:00	0.92041	0.92336	0.91862	0.92320	11350	0	0
2023.01.20	16:00:00	0.92322	0.92346	0.91951	0.92214	12848	0	0
2023.01.20	20:00:00	0.92214	0.92254	0.91974	0.92010	7208	0	0
2023.01.23	00:00:00	0.91758	0.91999	0.91708	0.91817	5885	0	0
2023.01.23	04:00:00	0.91817	0.91834	0.91702	0.91797	4583	0	0
2023.01.23	08:00:00	0.91796	0.91924	0.91598	0.91773	11185	0	0
2023.01.23	12:00:00	0.91774	0.92294	0.91625	0.92223	12762	0	0
2023.01.23	16:00:00	0.92225	0.92411	0.92114	0.92333	13923	0	0
2023.01.23	20:00:00	0.92333	0.92346	0.92158	0.92175	7167	0	0
2023.01.24	00:00:00	0.92163	0.92204	0.92077	0.92119	2849	0	0
2023.01.24	04:00:00	0.92119	0.92206	0.92099	0.92157	3779	0	0
2023.01.24	08:00:00	0.92157	0.92250	0.91921	0.92188	9412	0	0
2023.01.24	12:00:00	0.92188	0.92686	0.92118	0.92606	11111	0	0
2023.01.24	16:00:00	0.92608	0.92794	0.92239	0.92260	17127	0	0
2023.01.24	20:00:00	0.92257	0.92357	0.92211	0.92243	6839	0	0
2023.01.25	00:00:00	0.92236	0.92302	0.92117	0.92226	5583	0	0
2023.01.25	04:00:00	0.92225	0.92331	0.92174	0.92286	6195	0	0
2023.01.25	08:00:00	0.92286	0.92452	0.92213	0.92310	10349	0	0
2023.01.25	12:00:00	0.92312	0.92399	0.92050	0.92238	10242	0	0
2023.01.25	16:00:00	0.92237	0.92301	0.91726	0.91967	14896	0	0
2023.01.25	20:00:00	0.91967	0.91967	0.91759	0.91790	5058	0	0
2023.01.26	00:00:00	0.91753	0.91793	0.91688	0.91718	4886	0	0
2023.01.26	04:00:00	0.91718	0.91784	0.91697	0.91715	3670	0	0
2023.01.26	08:00:00	0.91715	0.91971	0.91613	0.91951	11353	0	0
2023.01.26	12:00:00	0.91951	0.91986	0.91644	0.91645	12931	0	0
2023.01.26	16:00:00	0.91637	0.92252	0.91582	0.92152	15909	0	0
2023.01.26	20:00:00	0.92153	0.92158	0.91961	0.92029	5420	0	0
2023.01.27	00:00:00	0.91998	0.92058	0.91755	0.92045	5524	0	0
2023.01.27	04:00:00	0.92046	0.92229	0.92033	0.92176	3704	0	0
2023.01.27	08:00:00	0.92177	0.92287	0.92014	0.92102	9160	0	0
2023.01.27	12:00:00	0.92103	0.92313	0.92035	0.92189	10826	0	0
2023.01.27	16:00:00	0.92189	0.92400	0.92054	0.92159	14561	0	0
2023.01.27	20:00:00	0.92160	0.92217	0.92075	0.92089	5822	0	0
2023.01.30	00:00:00	0.91961	0.92199	0.91917	0.92120	5176	0	0
2023.01.30	04:00:00	0.92122	0.92183	0.92011	0.92078	6708	0	0
2023.01.30	08:00:00	0.92078	0.92311	0.91927	0.91936	9721	0	0
2023.01.30	12:00:00	0.91935	0.92262	0.91819	0.92248	10379	0	0
2023.01.30	16:00:00	0.92247	0.92390	0.92203	0.92350	12400	0	0
2023.01.30	20:00:00	0.92351	0.92564	0.92339	0.92489	6372	0	0
2023.01.31	00:00:00	0.92310	0.92567	0.92292	0.92400	4640	0	0
2023.01.31	04:00:00	0.92400	0.92579	0.92394	0.92576	3698	0	0
2023.01.31	08:00:00	0.92572	0.92882	0.92467	0.92671	10584	0	0
2023.01.31	12:00:00	0.92671	0.92879	0.92322	0.92369	12064	0	0
2023.01.31	16:00:00	0.92367	0.92406	0.91654	0.91755	15803	0	0
2023.01.31	20:00:00	0.91755	0.91781	0.91505	0.91612	5909	0	0
2023.02.01	00:00:00	0.91558	0.91676	0.91542	0.91669	3632	0	0
2023.02.01	04:00:00	0.91669	0.91726	0.91587	0.91624	2847	0	0
2023.02.01	08:00:00	0.91624	0.91703	0.91520	0.91598	8392	0	0
2023.02.01	12:00:00	0.91601	0.91650	0.91431	0.91525	9613	0	0
2023.02.01	16:00:00	0.91524	0.91727	0.91367	0.91604	12670	0	0
2023.02.01	20:00:00	0.91600	0.91832	0.90700	0.90846	18264	0	0
2023.02.02	00:00:00	0.90810	0.90924	0.90593	0.90742	7245	0	0
2023.02.02	04:00:00	0.90743	0.90752	0.90655	0.90716	4446	0	0
2023.02.02	08:00:00	0.90716	0.91001	0.90672	0.90786	9101	0	0
2023.02.02	12:00:00	0.90786	0.91069	0.90785	0.91029	15290	0	0
2023.02.02	16:00:00	0.91032	0.91357	0.90903	0.91344	19779	0	0
2023.02.02	20:00:00	0.91343	0.91392	0.91221	0.91311	9816	0	0
2023.02.03	00:00:00	0.91320	0.91470	0.91221	0.91420	3454	0	0
2023.02.03	04:00:00	0.91420	0.91469	0.91385	0.91426	3753	0	0
2023.02.03	08:00:00	0.91424	0.91679	0.91262	0.91290	9556	0	0
2023.02.03	12:00:00	0.91293	0.92338	0.91261	0.92295	12345	0	0
2023.02.03	16:00:00	0.92296	0.92692	0.92220	0.92442	21907	0	0
2023.02.03	20:00:00	0.92442	0.92644	0.92438	0.92576	7477	0	0
2023.02.06	00:00:00	0.92730	0.92765	0.92526	0.92672	6774	0	0
2023.02.06	04:00:00	0.92673	0.92687	0.92493	0.92500	5914	0	0
2023.02.06	08:00:00	0.92500	0.92679	0.92273	0.92364	10844	0	0
2023.02.06	12:00:00	0.92363	0.92724	0.92363	0.92592	10081	0	0
2023.02.06	16:00:00	0.92594	0.92909	0.92556	0.92860	14912	0	0
2023.02.06	20:00:00	0.92858	0.92889	0.92695	0.92816	7002	0	0
2023.02.07	00:00:00	0.92622	0.92823	0.92622	0.92650	4054	0	0
2023.02.07	04:00:00	0.92649	0.92731	0.92625	0.92659	6587	0	0
2023.02.07	08:00:00	0.92658	0.92898	0.92423	0.92616	11140	0	0
2023.02.07	12:00:00	0.92615	0.92741	0.92458	0.92562	10886	0	0
2023.02.07	16:00:00	0.92560	0.92730	0.91916	0.91972	17271	0	0
2023.02.07	20:00:00	0.91975	0.92496	0.91925	0.92191	16742	0	0
2023.02.08	00:00:00	0.92109	0.92222	0.92073	0.92214	3856	0	0
2023.02.08	04:00:00	0.92214	0.92235	0.92150	0.92166	4890	0	0
2023.02.08	08:00:00	0.92165	0.92226	0.91780	0.91805	10856	0	0
